"id","n_features","file_bytes"
"20292",21,7473
"20293",21,6537
"20294",21,6219
"20295",21,6270
"20296",21,6170
"20297",21,6132
"20298",21,6480
"20299",21,7306
"20343",21,10759
"20344",21,12343
"20345",21,11374
"20346",21,11749
"20439",21,18189
"20440",21,16312
"20441",21,15077
"20442",21,16539
"20443",21,16266
"20444",21,15067
"20445",21,13999
"20446",21,14334
"20447",21,18318
"20448",21,20445
"20449",21,20347
"20450",21,19834
"20469",21,17334
"20470",21,16315
"20471",21,16367
"20472",21,14646
"20473",21,14536
"20474",21,13401
"20475",21,14608
"20476",21,13902
"20477",21,14190
"20480",21,12918
"20488",21,14170
"20489",21,15162
"20504",21,7122
"20505",21,6438
"20506",21,7390
"20507",21,6369
"20508",21,6465
"20509",21,7451
"20510",21,7488
"20511",21,6494
"20512",21,6429
"20513",21,6346
"20514",21,6439
"20515",21,6212
"20516",21,6543
"20517",21,6395
"20518",21,7030
"20562",21,10854
"20563",21,11138
"20564",21,10044
"20565",21,10986
"20655",21,20976
"20656",21,19866
"20657",21,20218
"20658",21,17939
"20659",21,17041
"20660",21,15569
"20661",21,15828
"20662",21,14727
"20664",21,14401
"20665",21,14768
"20666",21,17433
"20667",21,20705
"20668",21,20285
"20689",21,16038
"20690",21,14293
"20691",21,13659
"20692",21,13790
"20693",21,13445
"20694",21,13452
"20695",21,13420
"20696",21,13612
"20697",21,12873
"20698",21,12742
"20699",21,12620
"20703",21,13925
"20707",21,12963
"20708",21,14551
"20721",21,8313
"20723",21,7113
"20724",21,7255
"20725",21,6912
"20726",21,6669
"20727",21,6040
"20728",21,6489
"20729",21,6357
"20730",21,6694
"20731",21,5739
"20732",21,6409
"20733",21,6394
"20734",21,6762
"20735",21,6443
"20736",21,6645
"20737",21,7498
"20742",21,14172
"20781",21,10819
"20782",21,10482
"20783",21,10928
"20784",21,11109
"20785",21,10150
"20797",21,17714
"20874",21,19837
"20875",21,18524
"20876",21,18600
"20877",21,17568
"20878",21,17323
"20879",21,16005
"20881",21,13898
"20882",21,11474
"20883",21,13924
"20884",21,16521
"20885",21,17367
"20886",21,17435
"20887",21,18098
"20888",21,18645
"20909",21,16906
"20910",21,15394
"20911",21,13100
"20912",21,12487
"20913",21,12878
"20914",21,12642
"20915",21,12681
"20916",21,13472
"20917",21,13874
"20918",21,13578
"20919",21,13362
"20921",21,12039
"20922",21,11024
"20923",21,11077
"20940",21,9233
"20942",21,7477
"20943",21,7233
"20944",21,7208
"20945",21,6779
"20946",21,6500
"20947",21,6132
"20948",21,6192
"20949",21,5603
"20950",21,6498
"20951",21,6790
"20952",21,7021
"20953",21,6326
"20954",21,6648
"20962",21,17534
"21001",21,10734
"21002",21,10895
"21003",21,10118
"21006",21,10537
"21007",21,10755
"21095",21,17696
"21097",21,16424
"21100",21,13122
"21101",21,10942
"21102",21,11506
"21103",21,15033
"21104",21,18069
"21105",21,18552
"21106",21,18348
"21107",21,17451
"21112",21,19205
"21113",21,20558
"21128",21,16426
"21129",21,15460
"21130",21,13703
"21131",21,12853
"21132",21,12791
"21133",21,12271
"21134",21,11492
"21135",21,12094
"21136",21,11475
"21137",21,11815
"21140",21,10156
"21141",21,9990
"21142",21,10709
"21159",21,8636
"21162",21,6750
"21163",21,7075
"21164",21,6977
"21165",21,6667
"21166",21,6436
"21167",21,5604
"21168",21,5612
"21169",21,5944
"21170",21,6069
"21171",21,6418
"21172",21,6524
"21173",21,7457
"21216",21,11578
"21220",21,11268
"21221",21,10303
"21222",21,10177
"21223",21,9851
"21225",21,10441
"21227",21,12073
"21228",21,12339
"21315",21,18575
"21316",21,17654
"21319",21,12774
"21320",21,10706
"21321",21,12438
"21322",21,12446
"21323",21,14920
"21325",21,17719
"21331",21,18787
"21332",21,18074
"21347",21,19172
"21348",21,15080
"21349",21,13706
"21350",21,13787
"21352",21,11747
"21356",21,10883
"21357",21,12260
"21358",21,10640
"21359",21,9673
"21360",21,9592
"21361",21,10243
"21363",21,9721
"21383",21,7002
"21384",21,6925
"21385",21,7599
"21386",21,6269
"21387",21,6102
"21388",21,6036
"21389",21,6142
"21390",21,6825
"21391",21,6477
"21392",21,7545
"21393",21,12526
"21434",21,12187
"21438",21,10064
"21439",21,10083
"21440",21,10838
"21441",21,9521
"21442",21,9758
"21443",21,10557
"21444",21,10949
"21445",21,11199
"21446",21,11586
"21534",21,18053
"21535",21,17644
"21538",21,11804
"21539",21,11033
"21540",21,12562
"21541",21,15033
"21542",21,17203
"21548",21,16623
"21549",21,16959
"21550",21,16668
"21551",21,18044
"21552",21,17053
"21567",21,17251
"21568",21,16099
"21570",21,12861
"21571",21,11911
"21572",21,12578
"21574",21,12438
"21575",21,10843
"21576",21,9615
"21577",21,9766
"21578",21,9267
"21579",21,9793
"21580",21,10369
"21581",21,9708
"21582",21,10378
"21583",21,10240
"21604",21,6885
"21605",21,7219
"21606",21,6812
"21607",21,6502
"21608",21,6441
"21609",21,6767
"21610",21,6612
"21611",21,9654
"21643",21,22359
"21653",21,12733
"21657",21,10305
"21658",21,10440
"21659",21,10133
"21660",21,9730
"21661",21,9892
"21662",21,10818
"21663",21,11731
"21664",21,12012
"21665",21,11012
"21757",21,11367
"21758",21,11327
"21759",21,12322
"21760",21,13988
"21761",21,15149
"21762",21,14966
"21763",21,13749
"21764",21,14340
"21765",21,14674
"21766",21,15569
"21767",21,16658
"21768",21,15790
"21769",21,17416
"21770",21,17633
"21789",21,12556
"21790",21,12013
"21791",21,11235
"21793",21,10188
"21794",21,9898
"21795",21,10067
"21796",21,9782
"21797",21,9104
"21798",21,10406
"21799",21,10643
"21800",21,9887
"21801",21,10136
"21802",21,9720
"21803",21,11743
"21822",21,6093
"21823",21,6771
"21824",21,6869
"21825",21,6325
"21826",21,6708
"21827",21,6546
"21828",21,6375
"21829",21,7590
"21856",21,19381
"21857",21,17935
"21864",21,17576
"21871",21,13858
"21875",21,10656
"21876",21,10309
"21877",21,10616
"21878",21,10675
