"id","n_features","file_bytes"
"17225",21,10841
"17226",21,11208
"17227",21,9972
"17228",21,10687
"17229",21,9686
"17230",21,9168
"17231",21,9277
"17232",21,8907
"17233",21,8913
"17234",21,8930
"17235",21,8856
"17422",21,28161
"17443",21,10374
"17444",21,11431
"17445",21,10862
"17447",21,9556
"17448",21,9403
"17449",21,9020
"17450",21,9206
"17451",21,9167
"17452",21,8670
"17453",21,8570
"17454",21,9575
"17465",21,13899
"17636",21,24093
"17637",21,24576
"17638",21,26662
"17640",21,27957
"17641",21,22380
"17642",21,23236
"17644",21,21594
"17663",21,10724
"17665",21,9350
"17666",21,9118
"17667",21,9771
"17668",21,8916
"17669",21,8753
"17670",21,8626
"17671",21,9403
"17672",21,9297
"17673",21,10533
"17674",21,9938
"17675",21,9667
"17724",21,14669
"17725",21,13569
"17856",21,24882
"17860",21,21596
"17861",21,24174
"17862",21,24213
"17863",21,21272
"17881",21,11327
"17882",21,10244
"17883",21,9634
"17884",21,9614
"17885",21,9080
"17886",21,9512
"17887",21,10075
"17888",21,8265
"17889",21,8442
"17890",21,9036
"17891",21,9581
"17892",21,10304
"17893",21,10022
"17894",21,9140
"17895",21,9101
"17943",21,11706
"17944",21,12940
"17945",21,13621
"17946",21,13914
"17947",21,15047
"18075",21,23588
"18079",21,21158
"18080",21,20932
"18081",21,21980
"18082",21,20297
"18099",21,11476
"18100",21,11604
"18101",21,10773
"18102",21,9193
"18103",21,9548
"18104",21,10034
"18105",21,9700
"18106",21,9519
"18107",21,8490
"18108",21,8784
"18109",21,8877
"18110",21,9873
"18111",21,9181
"18112",21,9741
"18113",21,9355
"18114",21,9118
"18143",21,20407
"18160",21,11900
"18161",21,11953
"18162",21,11571
"18163",21,12943
"18164",21,13664
"18165",21,13650
"18166",21,14061
"18167",21,13911
"18255",21,19108
"18294",21,22526
"18295",21,22729
"18301",21,20028
"18302",21,19566
"18308",21,16125
"18319",21,10985
"18320",21,10411
"18321",21,9904
"18322",21,9761
"18323",21,9702
"18324",21,10648
"18325",21,9193
"18326",21,8519
"18327",21,8196
"18328",21,8685
"18329",21,9098
"18330",21,9346
"18331",21,8743
"18332",21,9220
"18333",21,8671
"18379",21,11212
"18380",21,11644
"18381",21,12363
"18382",21,13417
"18383",21,12823
"18384",21,13353
"18385",21,13739
"18386",21,13799
"18387",21,13368
"18498",21,25608
"18500",21,27729
"18511",21,23673
"18514",21,20972
"18515",21,21371
"18516",21,20091
"18520",21,19681
"18521",21,19400
"18538",21,11002
"18539",21,10873
"18540",21,10111
"18541",21,10344
"18542",21,10060
"18543",21,9039
"18544",21,8383
"18545",21,8778
"18548",21,8866
"18549",21,9179
"18550",21,9470
"18598",21,11319
"18599",21,11186
"18600",21,11953
"18601",21,14000
"18602",21,13064
"18603",21,12953
"18604",21,13601
"18605",21,13787
"18606",21,13328
"18735",21,20494
"18736",21,20086
"18737",21,18955
"18758",21,12660
"18759",21,11114
"18760",21,9827
"18761",21,8773
"18762",21,8782
"18763",21,9279
"18766",21,9046
"18767",21,8863
"18768",21,9464
"18775",21,18293
"18815",21,11010
"18817",21,10891
"18818",21,10828
"18819",21,11328
"18820",21,12402
"18821",21,12698
"18822",21,12654
"18823",21,13325
"18824",21,13834
"18825",21,13376
"18907",21,17660
"18954",21,18362
"18955",21,17885
"18977",21,10580
"18980",21,8423
"18981",21,8878
"18982",21,8960
"18983",21,8948
"18987",21,8756
"18988",21,8764
"19033",21,10991
"19034",21,10835
"19035",21,10737
"19036",21,10799
"19037",21,11329
"19038",21,11489
"19039",21,11731
"19040",21,13231
"19041",21,12154
"19042",21,12559
"19043",21,13420
"19044",21,13491
"19045",21,14880
"19130",21,17926
"19132",21,21975
"19172",21,17395
"19173",21,16916
"19174",21,17493
"19197",21,7297
"19198",21,7457
"19199",21,8035
"19201",21,8974
"19202",21,9392
"19203",21,8805
"19205",21,8849
"19207",21,9205
"19254",21,10848
"19255",21,10693
"19256",21,12550
"19257",21,11979
"19258",21,13232
"19259",21,13208
"19260",21,12802
"19261",21,13266
"19262",21,13599
"19263",21,13333
"19264",21,15109
"19346",21,16994
"19347",21,15348
"19348",21,17921
"19349",21,17437
"19351",21,21209
"19352",21,21848
"19379",21,22728
"19390",21,18787
"19391",21,17399
"19392",21,16433
"19414",21,8443
"19415",21,7470
"19417",21,7288
"19418",21,7737
"19419",21,6694
"19421",21,6337
"19422",21,8411
"19423",21,8995
"19424",21,8987
"19425",21,8796
"19471",21,11307
"19472",21,11044
"19473",21,10508
"19474",21,10930
"19475",21,10953
"19476",21,12303
"19477",21,13072
"19478",21,13102
"19479",21,13496
"19480",21,12880
"19481",21,13676
"19482",21,15346
"19564",21,18370
"19565",21,15940
"19566",21,14458
"19567",21,17926
"19568",21,15912
"19570",21,15533
"19571",21,21007
"19596",21,18601
"19597",21,19020
"19598",21,18376
"19599",21,16702
"19600",21,16351
"19608",21,17529
"19611",21,15559
"19628",21,10127
"19630",21,8212
"19633",21,8121
"19634",21,6933
"19635",21,6973
"19636",21,6619
"19637",21,7532
"19640",21,6856
"19641",21,8131
"19643",21,8573
"19693",21,11416
"19694",21,11771
"19695",21,13063
"19696",21,12304
"19697",21,13597
"19698",21,12789
"19699",21,13476
"19700",21,13525
"19783",21,18363
"19784",21,16476
"19785",21,14455
"19786",21,16528
"19787",21,17283
"19788",21,14475
"19789",21,15117
"19790",21,24218
"19791",21,20313
"19815",21,17037
"19816",21,17737
"19817",21,17721
"19818",21,17578
"19819",21,17064
"19820",21,16135
"19822",21,17921
"19825",21,17251
"19826",21,16345
"19827",21,17344
"19828",21,16583
"19831",21,13779
"19832",21,14442
"19834",21,14733
"19846",21,12497
"19847",21,7770
"19848",21,7122
"19849",21,6921
"19850",21,6821
"19851",21,7486
"19852",21,6874
"19853",21,7464
"19854",21,6932
"19855",21,7480
"19856",21,6560
"19857",21,6683
"19858",21,6564
"19859",21,7171
"19860",21,7048
"19862",21,7260
"19916",21,13811
"19917",21,13064
"19918",21,14046
"19919",21,15518
"20002",21,16896
"20003",21,15967
"20004",21,14447
"20005",21,16578
"20006",21,17076
"20007",21,14225
"20008",21,15229
"20009",21,22915
"20010",21,19683
"20032",21,18657
"20033",21,15828
